alt(km),Density code,table
1,1.108533497,1.1117
2,0.994736819,1.0066
3,0.884118839,0.90912
4,0.777448031,0.81913
5,0.67540327,0.73612
6,0.578584817,0.6597
7,0.48779394,0.5895
8,0.403629148,0.52517
9,0.326895525,0.46635
10,0.258005894,0.41271
11,0.362829081,0.36392
12,0.309751509,
13,0.264396859,
14,0.225683158,
15,0.192607647,
16,0.164379594,
17,0.140288567,
18,0.119709377,
19,0.102165096,
20,0.087139601,
21,0.07410473,
22,0.063147335,
23,0.05392539,
24,0.04614677,
25,0.039565288,
26,0.033990818,
27,0.02925507,
28,0.025231592,
29,0.021799562,
30,0.018866721,
31,0.016360587,
32,0.012886172,
33,0.010983947,
34,0.009414652,
35,0.008109679,
36,0.00701854,
37,0.006103087,
38,0.00532956,
39,0.004673468,
40,0.004113883,
41,0.003635002,
42,0.003223447,
43,0.002868322,
44,0.002560422,
45,0.00229276,
46,0.002059037,
47,0.001365838,
48,0.001201593,
49,0.001057099,
50,0.000929863,
51,0.000821168,
52,0.000727301,
53,0.000641368,
54,0.000563073,
55,0.000491952,
56,0.000427745,
57,0.000369921,
58,0.000318095,
59,0.000271967,
60,0.000231046,
61,0.000194952,
62,0.000163368,
63,0.000135852,
64,0.000112069,
65,9.16E-05,
66,7.43E-05,
67,5.96E-05,
68,4.73E-05,
69,3.71E-05,
70,2.88E-05,
71,5.70E-05,
72,4.87E-05,
73,4.13E-05,
74,3.47E-05,
75,2.90E-05,
76,2.40E-05,
77,1.96E-05,
78,1.59E-05,
79,1.28E-05,
80,1.01E-05,
81,7.92E-06,
82,6.11E-06,
83,4.64E-06,
84,0.007419206,
85,0.007422331,
86,0.007422331,
87,0.007422331,
88,0.007422331,
89,0.007422331,
90,0.089460198,
91,0.049798611,
92,0.034491965,
93,0.026388716,
94,0.021364617,
95,0.017944818,
96,0.01546876,
97,0.013593152,
98,0.012123199,
99,0.010939104,
100,0.009965733,
101,0.009151431,
102,0.008459531,
103,0.0078649,
104,0.007348374,
105,0.006895101,
106,0.006494498,
107,0.006137888,
108,0.00581811,
109,-1.31E-11,
110,0.005779129,
111,0.001386991,
112,0.001386991,
113,0.001386991,
114,0.001386991,
115,0.001386991,
116,0.001386991,
117,0.001386991,
118,0.001386991,
119,0.001386991,
120,0.001386991,
